STAT_ID,Latitude,Longitude,k600,pco2,avg_temp_air,kco2,fco2_gm2
300721,61.3083797,13.72666974,12.949783985644096,721.9,2.31,21.51496954779925,2308.3678579638777
300722,61.36602938,15.52105161,6.703595830057338,760.2,3.19,10.837328346642002,1247.9285860441107
300724,61.38851886,14.01046759,11.924169419300675,1336.5,1.81,20.120820026281294,6137.429776535755
300725,61.43035819,13.07744262,6.3855550484610895,507,1.54,10.86560598074136,449.9592639611523
300726,61.44844526,13.9235857,8.96957469871132,415.4,1.55,15.257818426927331,175.95931582644712
300730,61.46987258,14.67201249,7.2820983978054485,652.1,2.02,12.207982854264387,1044.928391813824
300737,61.55009681,16.78149639,7.159897114056086,670.6,3.28,11.542717370076879,1018.3714642011971
300741,61.57759816,16.39436289,7.4252749676265,683.9,3.1,12.037606994341079,1114.2511666445025
300753,61.71564389,15.24298152,6.199999999999999,673.4,2.51,10.237020662024902,933.3077970566933
300759,61.79693558,16.15609119,9.781672466146478,1670,3.39,15.715630646243662,6093.430495745003
300760,61.78414764,14.62001157,10.559065531310704,541.8,2.08,17.668680983392896,909.8237490015481
300766,61.81487444,12.43607254,6.59602471397621,317.6,0.39,11.630844165667327,-248.52579581929294
300768,61.86498385,16.36837992,6.269447284894476,531.4,3.02,10.189088622582807,472.5439911000917
300780,61.93536569,15.56162343,9.19069346661972,868,2.62,15.123319773914627,2291.6827187790013
300784,62.03785015,14.67879533,9.701971892982879,450.8,2.35,16.09900280654634,357.5672230166643
300787,62.03992813,13.59642,10.57640244947731,775.2,1.11,18.23826652549794,2410.973845911189
300789,62.0695368,12.66292175,6.391659958330074,277.6,0.12,11.364988648907206,-403.7147580597612
300790,62.19779531,15.9760248,6.535890839710579,922,2.18,10.902735531336816,1861.1711852589085
300796,62.27750118,16.94595758,9.623547745605087,763.5,2.45,15.919374928779872,1924.2011217378326
300797,62.36512176,16.96434511,31.602293538993656,554.9,2.34,52.4556628783696,2949.191230580587
300798,62.36297068,14.39851972,7.162529804262739,831.9,1.4,12.24073308487347,1791.9387819076005
300800,62.41464815,13.88340094,7.703557119792627,734.1,1.03,13.31722201978276,1560.9634420454902
300804,62.4834388,16.22624192,10.60796785243485,913,2.16,17.7064901198481,3005.0897608449227
300805,62.50006819,15.21489306,6.291941125234274,4090.9,2.41,10.421127880031198,12026.091281729025
300806,62.49937183,14.6878559,9.649056926081986,583.5,2.2,16.085921804007683,1043.5693765817887
300807,62.50989022,15.23324155,7.0578540683592905,961.7,2.17,11.777094552733264,2170.5956708319336
300809,62.47842724,13.06991509,8.165530339005684,769.9,0.07,14.541558608967835,1954.174776026828
300811,62.53492973,15.75659385,6.358437436803264,1297.2,2.29,10.570565802333704,3093.5291916996644
300812,62.54001435,13.85996179,8.917494293883934,926.4,0.94,15.45881817046919,2817.290308107435
300822,62.65073048,16.32592428,7.942171023613156,901.5,2.05,13.302162405719612,2206.647661721047
300827,62.7211029,17.16022708,8.596442110664547,1123.6,1.58,14.609494838734529,3502.7966765253673
300829,62.73972426,17.14049261,8.45066108972635,935.5,1.54,14.379572798433207,2584.2157159301837
300830,62.74565514,13.78494558,7.427341593952441,487.5,0.67,12.983706181912952,469.2375657871126
300831,62.76612601,17.09773939,9.096621855630065,1853.6,1.46,15.517188199204714,7387.6022279641
300833,62.78358537,13.20468197,6.2010432727847125,442.4,0.4,10.930986501749837,233.68687430465903
300834,62.80314724,14.81505979,6.200000000000003,730.9,2.36,10.284799745932052,1136.784435677592
300835,62.80727989,12.95191708,6.322791749226511,644.4,-0.07,11.308741043209391,1060.110545075186
300843,62.89643942,13.64866642,7.6496695208231635,523.8,0.05,13.631313023406026,673.1495428483357
300850,63.08722592,13.7277447,10.119470465663305,333.9,-0.34,18.2508895757018,-293.00529562147847
300853,63.18867074,17.01488394,7.17025527423063,854.8,2.29,11.92017000231598,1783.3332804378833
